Name	Completeness	Contamination	Strain_heterogeneity	Genome_size	Contig_N50	GC	Group
B_15_A_3.bin.03	73.06	3.73	80	3.286232	12.833	70.3	B_15
B_15_A_3.bin.04	76.42	3.9	100	3.499078	16.685	72.1	B_15
B_15_A_3.bin.05	99.99	0	0	4.431086	76.885	63.8	B_15
B_15_A_3.bin.06	60.46	3.57	85.71	2.51804	4.387	74.6	B_15
B_15_A_3.bin.07	100	0.74	5.88	5.885411	114.348	66.2	B_15
B_15_A_3.bin.08	100	0.8	0	4.788481	164.479	35.4	B_15
B_15_A_3.bin.09	92.96	0.01	100	5.120937	45.031	63	B_15
B_15_M_1.bin.01	98.78	0.25	5.26	3.694451	160.318	43.7	B_15
B_15_M_1.bin.02	60.26	7.66	62.5	2.897985	5.59	70.7	B_15
B_15_M_1.bin.03	79.96	2.9	0	4.397457	6.234	35.1	B_15
B_15_M_1.bin.04	95.96	0.49	25	5.912257	55.2	62.6	B_15
B_15_M_1.bin.05	95.22	0.95	20	6.346324	143.14	71.4	B_15
B_15_M_1.bin.06	82.59	3.97	100	3.228426	7.172	74.1	B_15
B_15_M_1.bin.07	86.56	0.51	0	3.668969	8.789	46.3	B_15
B_15_M_1.bin.08	97.98	1.26	0	4.226461	55.742	63	B_15
B_15_M_1.bin.09	99.75	0.47	0	4.844378	147.526	40.7	B_15
B_15_M_1.bin.10	93.42	9.56	5.88	5.437807	17.719	38.3	B_15
B_15_M_1.bin.12	53.67	1.95	0	3.372646	2.253	50	B_15
B_15_M_1.bin.13	51.75	3.67	25	3.068709	4.271	70.4	B_15
B_15_M_1.bin.14	76.99	0.32	0	4.147176	10.882	62.9	B_15
B_15_M_1.bin.15	73.55	0.65	0	3.645349	12.096	35.7	B_15
B_15_M_1.bin.16	99.6	0.48	0	4.535597	78.963	35.3	B_15
B_15_M_1.bin.17	95.35	0.13	0	4.013037	77.222	64	B_15
B_15_M_1.bin.18	88.75	2.44	50	3.267763	32.451	67	B_15
B_15_M_2.bin.01	100	0.26	0	4.428325	84.22	63.8	B_15
B_15_M_2.bin.02	95.35	1.62	0	4.599872	31.126	64.6	B_15
B_15_M_2.bin.03	90.52	1.39	0	4.636759	179.891	35.4	B_15
B_15_M_2.bin.04	98.73	0.18	0	5.50618	51.896	62.8	B_15
B_15_M_2.bin.05	87.38	0.03	100	3.17277	15.489	69.6	B_15
B_15_M_2.bin.06	90.07	0.08	0	3.625893	31.249	64.4	B_15
B_15_M_2.bin.07	80.58	4.47	50	3.051855	10.042	74.2	B_15
B_15_M_2.bin.08	94.83	4.25	51.72	8.4944	44.786	71.8	B_15
B_15_M_2.bin.09	84.88	1.78	0	6.114477	32.375	72	B_15
B_15_M_3.bin.01	99.91	1.06	0	4.144236	63.395	44.4	B_15
B_15_M_3.bin.02	94.22	2.04	42.86	3.31959	92.762	64.4	B_15
B_15_M_3.bin.03	99.99	0.41	9.09	4.633002	72.211	35.3	B_15
B_15_M_3.bin.04	99.97	0.54	40	3.640147	53.719	43.6	B_15
B_15_M_3.bin.05	97.43	0	50	3.958729	74.964	46.1	B_15
B_15_M_3.bin.06	81.27	1.46	0	3.337338	22.016	37.1	B_15
B_15_M_3.bin.07	82.7	0.71	0	3.261719	14.047	72.1	B_15
B_15_M_3.bin.08	96.51	0.08	0	3.49242	237.323	43.7	B_15
B_15_M_3.bin.09	100	0.73	0	3.881413	95.597	35.2	B_15
B_15_M_3.bin.10	100	0.23	0	5.029787	50.852	40.6	B_15
B_15_M_3.bin.11	99.49	0.06	0	6.343452	46.128	49.8	B_15
B_15_M_3.bin.12	69.8	3.09	0	6.458547	4.02	71	B_15
B_15_N_1.bin.01	99.26	0.28	0	5.450321	50.137	62.9	B_15
B_15_N_1.bin.02	81.53	0.57	33.33	7.292472	29.787	73.5	B_15
B_15_N_1.bin.03	68.93	5.52	100	3.257305	7.541	69.5	B_15
B_15_N_1.bin.04	87.05	1.43	11.11	6.623868	19.589	71.9	B_15
B_15_N_1.bin.05	95.56	0.81	0	8.138468	58.157	71.8	B_15
B_15_N_1.bin.06	59.3	6.22	0	2.695255	7.963	65.4	B_15
B_15_N_1.bin.07	100	0.06	0	3.460974	399.786	43.7	B_15
B_15_N_1.bin.08	52.99	4.48	53.33	2.601873	4.939	69.6	B_15
B_15_N_1.bin.09	99.95	2.2	0	5.136824	73.102	35.2	B_15
B_15_N_1.bin.10	94.86	2.04	0	4.733274	29.296	35.4	B_15
B_15_N_1.bin.11	69.66	1.63	0	2.593826	11.05	70.8	B_15
B_15_N_1.bin.12	93.67	0.77	0	4.097038	62.024	38.3	B_15
B_15_N_1.bin.13	100	0.94	0	5.208071	16.14	40.6	B_15
B_15_N_1.bin.14	67.48	1.68	0	2.778622	37.362	70.4	B_15
B_15_N_2.bin.01	100	0.7	12.5	4.856242	81.903	40.9	B_15
B_15_N_2.bin.02	94.58	2.58	50	5.84594	35.412	62.6	B_15
B_15_N_2.bin.03	81.28	0.51	100	3.062068	37.705	69.9	B_15
B_15_N_2.bin.04	91.79	0.23	25	6.403924	32.499	71.9	B_15
B_15_N_2.bin.05	72.01	3.15	100	6.133944	54.979	72.2	B_15
B_15_N_2.bin.06	78.99	3	0	3.133639	24.429	70.7	B_15
B_15_N_2.bin.07	80.33	0.46	50	3.512347	31.975	69.5	B_15
B_15_N_2.bin.08	87.4	0.3	10	4.020679	6.418	63.9	B_15
B_15_N_2.bin.09	67	0.99	100	6.290946	15.386	71.6	B_15
B_15_N_2.bin.10	99.99	0.07	0	4.722477	82.46	40.1	B_15
B_15_N_2.bin.11	74.02	9.21	0	4.937323	9.98	62.2	B_15
B_15_N_2.bin.12	100	0.48	0	4.687503	166.114	35.3	B_15
B_15_N_2.bin.13	57.11	1.91	0	3.584781	2.45	35.1	B_15
B_15_N_3.bin.01	78.26	0.63	100	3.300035	21.304	72.5	B_15
B_15_N_3.bin.02	90.98	1.49	0	3.569299	59.285	73.7	B_15
B_15_N_3.bin.03	63.73	1.12	100	2.499425	14.477	69.6	B_15
B_15_N_3.bin.05	97.87	5.86	0	7.789123	26.95	61.1	B_15
B_15_N_3.bin.06	62.6	0.61	0	2.572799	19.339	70.6	B_15
B_15_N_3.bin.07	86.73	1.06	37.5	2.931486	13.385	69.8	B_15
B_15_N_3.bin.08	63.84	3.62	85.71	2.662868	9.094	69.9	B_15
B_15_N_3.bin.09	99.96	1.98	33.33	6.25823	72.468	62.4	B_15
B_15_N_3.bin.10	86.76	0.98	20	4.062212	7.28	63.9	B_15
B_15_N_3.bin.11	96.57	1.06	66.67	6.796878	43.176	71.8	B_15
B_15_N_3.bin.12	100	2.18	0	5.547301	158.41	35.2	B_15
B_15_R_1.bin.01	82.18	5.1	33.33	3.852968	14.249	64.8	B_15
B_15_R_1.bin.02	95.15	2.9	100	3.549117	37.661	73.8	B_15
B_15_R_1.bin.03	94.25	0.33	0	3.398722	32.467	63.8	B_15
B_15_R_1.bin.04	71.95	1.96	0	2.801542	14.443	70.7	B_15
B_15_R_1.bin.05	99.99	2.27	66.67	6.255318	84.238	62.4	B_15
B_15_R_1.bin.06	69.43	2.98	0	2.633901	5.278	67.5	B_15
B_15_R_1.bin.07	63.4	4.96	30.77	2.735218	18.863	69.3	B_15
B_15_R_1.bin.08	77.38	1.68	0	2.606003	72.748	64.7	B_15
B_15_R_1.bin.09	60.48	0.11	0	2.969347	2.711	38.1	B_15
B_15_R_1.bin.10	100	0.25	0	5.199805	140.157	40.4	B_15
B_15_R_1.bin.11	87.17	2.53	66.67	3.829767	11.454	65	B_15
B_15_R_2.bin.01	100	0.68	0	4.746864	172.944	35.4	B_15
B_15_R_2.bin.02	95.21	0.89	14.29	6.802001	36.775	71.8	B_15
B_15_R_2.bin.03	80.72	5.51	56.52	4.103086	11.591	64.1	B_15
B_15_R_2.bin.04	62.91	0.1	0	2.012686	10.524	72.6	B_15
B_15_R_2.bin.07	100	0.58	0	5.043325	76.989	40.6	B_15
B_15_R_2.bin.08	82.74	5.08	54.55	3.327397	25.586	70.7	B_15
B_15_R_2.bin.09	85.9	9.82	0	5.298046	21.186	62.2	B_15
B_15_R_2.bin.10	78.11	0.86	0	2.724426	4.132	44.3	B_15
B_15_R_2.bin.11	96.64	0.59	33.33	5.786959	46.845	62.6	B_15
B_15_R_2.bin.12	88.46	4.01	66.67	3.437456	21.988	69.7	B_15
B_15_R_3.bin.01	75.17	6.72	100	3.984665	5.789	62	B_15
B_15_R_3.bin.02	96.14	0.41	0	4.323324	108.8	64.8	B_15
B_15_R_3.bin.03	71.33	5.63	59.52	3.072134	22.038	69.6	B_15
B_15_R_3.bin.04	99.54	0.03	0	5.955797	162.935	62.6	B_15
B_15_R_3.bin.05	100	0.65	0	4.888005	179.37	35.3	B_15
B_15_R_3.bin.06	65.08	2.34	13.33	3.887453	3.873	66.7	B_15
B_15_R_3.bin.07	95.03	2.34	0	8.235549	49.031	71.4	B_15
B_15_R_3.bin.08	100	0	0	4.309166	78.615	63.9	B_15
B_15_R_3.bin.10	99.98	0.34	0	9.692594	177.367	70.6	B_15
B_15_R_3.bin.11	77.58	0.66	0	3.104243	18.013	69.4	B_15
B_15_T_1.bin.01	100	0.75	0	3.720779	559.884	44.9	B_15
B_15_T_1.bin.02	79.9	1.23	0	3.181184	6.281	69.5	B_15
B_15_T_1.bin.03	88.88	0.09	40	2.909458	14.794	69.8	B_15
B_15_T_1.bin.04	99.98	0.32	40	8.60666	97.799	71.8	B_15
B_15_T_1.bin.05	99.79	0.42	0	4.066334	31.806	38.3	B_15
B_15_T_1.bin.06	95.16	2.33	100	3.643517	20.879	75.9	B_15
B_15_T_1.bin.07	57.91	0.46	18.75	3.262014	2.271	62.4	B_15
B_15_T_2.bin.01	99.61	0.18	0	5.749522	56.954	62.7	B_15
B_15_T_2.bin.02	73.43	1.84	0	2.868163	12.371	65	B_15
B_15_T_2.bin.03	99.97	0.01	0	3.372114	73.062	43.9	B_15
B_15_T_2.bin.04	65.12	0.88	53.85	2.698122	4.642	69.4	B_15
B_15_T_2.bin.05	66.7	1.51	100	2.558088	46.834	65.2	B_15
B_15_T_2.bin.06	95.23	0	0	3.52801	126.634	63.8	B_15
B_15_T_2.bin.07	82.78	2.29	63.64	3.704173	10.184	65	B_15
B_15_T_2.bin.08	86.82	0.46	33.33	2.668632	18.308	73.1	B_15
B_15_T_2.bin.09	100	0.15	0	5.288851	174.457	40.4	B_15
B_15_T_2.bin.10	99.28	0.11	0	3.78674	30.843	38.7	B_15
B_15_T_3.bin.01	69.98	1.07	0	3.681419	8.18	62.8	B_15
B_15_T_3.bin.02	98.35	0.4	0	4.960402	40.356	40.6	B_15
B_15_T_3.bin.03	95.31	0.28	30	6.706864	32.583	71.8	B_15
B_15_T_3.bin.04	87.31	0.2	0	3.195404	10.103	66.9	B_15
B_15_T_3.bin.05	87.83	0	0	3.762986	29.951	64.2	B_15
B_15_T_3.bin.06	90.37	1.89	85.71	3.561547	16.749	69.5	B_15
B_15_T_3.bin.07	99.54	0.25	0	5.221272	57.617	62.9	B_15
B_15_T_3.bin.08	98.54	0.21	0	4.065872	696.164	61.1	B_15
B_15_T_3.bin.09	96.63	1.16	0	4.510345	73.102	35.3	B_15
B_15_T_3.bin.10	89.08	2.74	83.33	3.439203	26.269	73.9	B_15
B_30_A_1.bin.01	100	0.49	0	4.832382	101.692	35.3	B_30
B_30_A_1.bin.03	80.18	1.08	100	3.226053	22.559	65.5	B_30
B_30_A_1.bin.04	100	1.03	0	5.60205	117.723	40	B_30
B_30_A_1.bin.05	100	0	0	4.151051	309.559	45.9	B_30
B_30_A_1.bin.06	94.15	0.12	20	3.27043	85.244	63.9	B_30
B_30_A_1.bin.07	67.67	2.55	33.33	3.185672	9.961	64.9	B_30
B_30_A_1.bin.08	99.79	0.35	0	5.562676	84.736	62.7	B_30
B_30_A_1.bin.09	90.77	2.1	33.33	3.494399	26.913	35.3	B_30
B_30_A_1.bin.11	57.67	2.37	66.67	2.461426	1.761	49.3	B_30
B_30_A_2.bin.01	99.98	0.29	12.5	7.044521	47.17	71.7	B_30
B_30_A_2.bin.02	99.22	0.07	0	3.966642	58.226	64.3	B_30
B_30_A_2.bin.03	58.6	4.04	21.43	2.986523	12.074	70.6	B_30
B_30_A_2.bin.04	94.33	0.11	0	4.199809	20.999	62.7	B_30
B_30_A_2.bin.05	74.95	1.75	25	3.206951	4.606	70.1	B_30
B_30_A_2.bin.06	99.97	0.06	33.33	7.41518	55.722	49.6	B_30
B_30_A_2.bin.07	84.3	0.27	0	2.491597	21.434	64.5	B_30
B_30_A_2.bin.08	92.57	0.43	18.18	4.971616	70.663	62.1	B_30
B_30_A_2.bin.10	87.1	0.22	0	5.08471	34.939	66.5	B_30
B_30_A_2.bin.11	100	0.93	31.58	4.70478	169.524	63.9	B_30
B_30_A_2.bin.12	78.94	2.28	10.53	3.277363	12.45	70.6	B_30
B_30_A_2.bin.13	100	0.82	20	4.458984	45.612	64.1	B_30
B_30_A_2.bin.14	72.74	5.76	42.86	2.993379	5.087	74.2	B_30
B_30_A_2.bin.15	76.42	2.01	100	2.851599	26.7	72.6	B_30
B_30_A_3.bin.01	56.87	0.04	0	2.131028	17.809	69.6	B_30
B_30_A_3.bin.02	99.96	0.06	0	4.389919	193.999	63.9	B_30
B_30_A_3.bin.03	87.37	0.01	0	3.774056	15.42	67.1	B_30
B_30_A_3.bin.04	93.35	0.2	33.33	6.816897	34.912	71.8	B_30
B_30_A_3.bin.05	91.87	0.52	0	4.394924	49.899	64.7	B_30
B_30_A_3.bin.06	94	1.49	12.5	4.428995	14.085	64.1	B_30
B_30_A_3.bin.07	57.45	3.79	52.17	2.272568	14.486	69.6	B_30
B_30_A_3.bin.08	87.54	0.57	25	5.23206	40.295	62.8	B_30
B_30_A_3.bin.09	82.98	3.08	0	3.833774	23.924	72.2	B_30
B_30_A_3.bin.10	89.09	0	0	5.064041	48.915	62.1	B_30
B_30_A_3.bin.11	92.1	3	50	7.686391	21.368	49.1	B_30
B_30_A_3.bin.13	93.44	0.54	0	2.579679	50.37	64.7	B_30
B_30_A_3.bin.14	99.8	0.13	0	3.682748	190.931	73.7	B_30
B_30_A_3.bin.15	100	2.2	33.33	6.464992	72.518	63.2	B_30
B_30_A_3.bin.16	100	1.25	0	4.977018	139.117	35.2	B_30
B_30_A_3.bin.17	78.66	0.2	0	3.309063	14.567	69.5	B_30
B_30_M_1.bin.01	98.48	0.56	0	3.72788	152.599	72.5	B_30
B_30_M_1.bin.02	95.69	3.57	50	8.357041	23.043	73.2	B_30
B_30_M_1.bin.03	99.61	0.16	0	3.848425	160.313	63.7	B_30
B_30_M_1.bin.04	98.93	2.21	0	5.041665	146.739	35.3	B_30
B_30_M_1.bin.05	99.99	1.67	0	4.551311	147.26	44.4	B_30
B_30_M_1.bin.06	99.81	0.15	0	5.790133	84.833	62.7	B_30
B_30_M_1.bin.07	54.82	2.36	0	2.384975	3.484	63.4	B_30
B_30_M_1.bin.08	99.13	0.94	0	4.930071	44.341	40.8	B_30
B_30_M_1.bin.09	99.95	0.03	0	3.993939	144.4	46	B_30
B_30_M_1.bin.10	70.53	0.94	0	3.729212	15.49	35.9	B_30
B_30_M_1.bin.11	100	0.13	0	4.418784	88.301	37.4	B_30
B_30_M_1.bin.12	65.49	0.43	0	2.517245	3.229	44.5	B_30
B_30_M_1.bin.13	99.99	0.3	0	6.734925	140.932	49.5	B_30
B_30_M_1.bin.14	99.93	0.21	0	3.668636	40.292	70.3	B_30
B_30_M_1.bin.15	99.96	0.64	0	3.720701	242.199	73.6	B_30
B_30_M_1.bin.16	98.12	0.38	0	3.850621	252.734	35.1	B_30
B_30_M_1.bin.17	94.84	0.59	12.5	3.647606	120.57	43.6	B_30
B_30_M_2.bin.01	98.58	7.17	8.33	5.626272	72.818	62	B_30
B_30_M_2.bin.02	81.86	1.14	0	3.37728	24.59	73.9	B_30
B_30_M_2.bin.03	93.44	0.21	58.33	8.269411	49.652	71.8	B_30
B_30_M_2.bin.04	90.46	0.61	0	6.314388	33.128	49.8	B_30
B_30_M_2.bin.05	54.49	0.11	0	2.252546	22.054	69.6	B_30
B_30_M_2.bin.06	88	1.24	50	4.012899	19.522	64.9	B_30
B_30_M_2.bin.07	95.78	0.01	0	3.904209	288.509	46.1	B_30
B_30_M_2.bin.08	99.19	0.89	7.14	4.376011	60.832	63.9	B_30
B_30_M_2.bin.10	99.59	0.72	0	3.295888	148.058	38.9	B_30
B_30_M_2.bin.11	99.99	1.36	5.88	4.878946	77.055	35.3	B_30
B_30_M_2.bin.12	67.74	3.72	22.22	3.911123	2.863	50.4	B_30
B_30_M_2.bin.14	100	0.87	0	5.438428	79.358	40.3	B_30
B_30_M_2.bin.15	90.22	0.26	0	3.265616	39.424	67	B_30
B_30_M_2.bin.16	91.9	0.87	25	5.322964	52.129	62.8	B_30
B_30_M_2.bin.17	94.35	0.22	0	3.569955	175.402	43.6	B_30
B_30_M_3.bin.01	99.39	1.16	0	5.042066	33.804	35.2	B_30
B_30_M_3.bin.02	61.72	0.29	0	2.490073	15.97	69.7	B_30
B_30_M_3.bin.03	89.66	2.75	33.33	5.08994	17.315	62.3	B_30
B_30_M_3.bin.04	87.98	2.59	100	3.158671	27.266	70.8	B_30
B_30_M_3.bin.05	96.38	0.91	44.44	6.656087	20.404	71.8	B_30
B_30_M_3.bin.06	92.96	0.29	100	3.517833	107.598	73.8	B_30
B_30_M_3.bin.07	78.17	0.63	11.11	3.897189	14.2	66.9	B_30
B_30_M_3.bin.08	96.74	0.23	0	5.590839	49.925	62.7	B_30
B_30_M_3.bin.09	83.87	0.32	0	6.497383	7.794	49.6	B_30
B_30_M_3.bin.10	100	0.07	0	4.47117	193.285	63.9	B_30
B_30_M_3.bin.11	77.85	0.52	60	3.136405	13.528	69.6	B_30
B_30_M_3.bin.12	51.8	3.9	22.58	5.26497	2.395	70.3	B_30
B_30_N_1.bin.01	77.23	0	0	3.721324	216.591	41.3	B_30
B_30_N_1.bin.02	75.64	0.65	100	3.26152	21.829	65.1	B_30
B_30_N_1.bin.03	79.13	7.23	0	2.922134	21.659	64.7	B_30
B_30_N_1.bin.04	92	0.75	40	7.442634	61.931	73.5	B_30
B_30_N_1.bin.05	83.96	1.18	0	3.122539	8.373	74.3	B_30
B_30_N_1.bin.06	92.49	0.59	0	3.580664	181.715	35.3	B_30
B_30_N_1.bin.07	99.99	0.04	0	4.595502	98.285	37.2	B_30
B_30_N_1.bin.08	99.92	0.92	0	6.269781	54.376	62.4	B_30
B_30_N_1.bin.09	86.57	0.85	16.67	6.030361	26.325	72	B_30
B_30_N_1.bin.10	84.13	7.65	0	3.126146	25.743	70.8	B_30
B_30_N_1.bin.13	84.22	4.61	100	3.501884	32.319	70.6	B_30
B_30_N_1.bin.14	100	0.45	0	4.533446	147.485	40.6	B_30
B_30_N_1.bin.15	88.72	0.54	0	3.996938	69.067	38.3	B_30
B_30_N_1.bin.16	99.99	1.51	0	4.516156	141.862	44.3	B_30
B_30_N_1.bin.17	85.19	0.08	0	6.89956	67.77	71.9	B_30
B_30_N_1.bin.18	100	0.11	0	3.471228	400.318	43.7	B_30
B_30_N_2.bin.02	94.7	0.12	28.57	6.7767	42.708	71.7	B_30
B_30_N_2.bin.03	81.38	2.51	7.69	3.734756	4.507	64.1	B_30
B_30_N_2.bin.04	64.67	9.72	91.67	4.056241	25.26	62.8	B_30
B_30_N_2.bin.05	100	0.01	0	4.101426	211.374	46	B_30
B_30_N_2.bin.06	95.33	2.68	30	6.669322	37.849	63.1	B_30
B_30_N_2.bin.07	73.12	1.35	50	2.947237	8.172	74.2	B_30
B_30_N_2.bin.08	100	1.09	0	5.275228	160.161	35.2	B_30
B_30_N_2.bin.09	57.82	1.36	14.29	3.414785	2.635	64.7	B_30
B_30_N_2.bin.10	73.73	8.54	0	3.994484	3.094	66.7	B_30
B_30_N_2.bin.11	99.94	2.26	25	6.187632	180.779	62.4	B_30
B_30_N_3.bin.01	55.8	2.67	0	3.038019	3.702	67.1	B_30
B_30_N_3.bin.02	84.13	5.36	40	6.746101	35.664	49.9	B_30
B_30_N_3.bin.03	94.75	1.15	0	4.558175	23.084	64.6	B_30
B_30_N_3.bin.04	92.67	3.01	8.82	6.099465	27.84	62	B_30
B_30_N_3.bin.05	100	0	0	4.497983	56.594	63.8	B_30
B_30_N_3.bin.06	95.33	3.19	42.86	6.270722	47.428	63.2	B_30
B_30_N_3.bin.07	95.81	0.39	0	5.435918	109.491	62.8	B_30
B_30_N_3.bin.08	95.73	1.58	28.57	7.460725	50.337	71.5	B_30
B_30_N_3.bin.09	81.43	2.61	66.67	5.738887	69.945	49.2	B_30
B_30_R_1.bin.01	87.87	3.26	71.43	2.98973	10.834	72.8	B_30
B_30_R_1.bin.02	97.45	0.5	0	5.833483	56.471	62.7	B_30
B_30_R_1.bin.03	87.37	4.07	0	3.469615	4.996	38.6	B_30
B_30_R_1.bin.04	83.39	0.16	25	2.387096	13.225	72.9	B_30
B_30_R_1.bin.05	89.63	0.74	0	3.498467	33.089	69.6	B_30
B_30_R_1.bin.06	90.15	0.22	0	3.708152	355.382	35.2	B_30
B_30_R_1.bin.07	92.02	1.22	33.33	6.583119	26.702	71.9	B_30
B_30_R_1.bin.08	57.76	5.09	3.33	3.912444	2.414	61.7	B_30
B_30_R_1.bin.09	93.78	0.08	0	3.748802	79.06	38.6	B_30
B_30_R_1.bin.10	87.34	7.96	42.31	4.901854	11.531	64.5	B_30
B_30_R_1.bin.11	89.94	5.82	7.14	4.451026	24.776	64.6	B_30
B_30_R_1.bin.12	95.95	2.94	0	7.096326	8.541	49.9	B_30
B_30_R_1.bin.13	86.15	1.66	20	3.555992	11.262	63.8	B_30
B_30_R_1.bin.14	93.7	0.42	100	3.568713	56.739	73.7	B_30
B_30_R_1.bin.15	65.71	5.11	60	2.475707	29.624	74.7	B_30
B_30_R_2.bin.01	92.24	0.49	0	4.230226	38.292	65	B_30
B_30_R_2.bin.02	98.7	0.35	25	5.477845	51.349	62.8	B_30
B_30_R_2.bin.03	94.79	1.31	14.29	6.782964	28.333	71.8	B_30
B_30_R_2.bin.04	88.2	0.85	0	3.184016	10.83	44	B_30
B_30_R_2.bin.05	98.4	0.49	0	7.025387	16.327	49.6	B_30
B_30_R_2.bin.06	83.82	3.99	100	3.074038	37.737	70.6	B_30
B_30_R_2.bin.07	76.31	8.21	100	3.117716	7.973	69.7	B_30
B_30_R_2.bin.08	59.17	0.85	20	3.548548	3.065	39.6	B_30
B_30_R_2.bin.09	93.84	4.42	19.05	6.269907	76.489	61.7	B_30
B_30_R_2.bin.10	63.73	8.77	20	5.165801	2.808	63.6	B_30
B_30_R_2.bin.11	88.36	8.89	0	4.095443	14.816	70.3	B_30
B_30_R_2.bin.13	80.84	0.87	0	3.492261	16.97	72.3	B_30
B_30_R_2.bin.14	93.36	0.33	100	3.499787	88.286	73.8	B_30
B_30_R_2.bin.15	99.99	0.01	0	3.983513	32.634	64.1	B_30
B_30_R_3.bin.01	100	0.7	0	4.816843	151.214	35.3	B_30
B_30_R_3.bin.02	82.33	9.69	33.33	5.968833	8.579	63.2	B_30
B_30_R_3.bin.03	80.65	3.09	100	8.13962	10.018	71.2	B_30
B_30_R_3.bin.04	94.47	0.01	100	5.496204	47.456	62.8	B_30
B_30_R_3.bin.05	64.92	0.63	0	3.306306	12.055	67.1	B_30
B_30_R_3.bin.06	95.39	1.73	22.22	6.905166	47.655	71.7	B_30
B_30_R_3.bin.07	74.42	3.1	0	3.80479	38.923	62.3	B_30
B_30_R_3.bin.08	86.24	2.72	16.67	3.801384	12.538	65	B_30
B_30_R_3.bin.09	58.44	0.54	0	2.814992	7.882	62.3	B_30
B_30_R_3.bin.10	79.7	9.17	0	3.634656	13.14	70.4	B_30
B_30_R_3.bin.11	100	0.08	0	4.650936	387.835	64	B_30
B_30_R_3.bin.12	76.91	1.81	16.67	4.395051	14.862	62.7	B_30
B_30_T_1.bin.01	93.12	0.08	100	3.549161	30.707	75.9	B_30
B_30_T_1.bin.02	85.89	5.57	6.25	3.622672	10.354	35.1	B_30
B_30_T_1.bin.03	98.81	0.26	0	5.405857	46.994	62.8	B_30
B_30_T_1.bin.05	55.39	5.75	10	2.72151	3.235	69.8	B_30
B_30_T_1.bin.08	83.21	1.77	52.94	7.568648	15.272	71.4	B_30
B_30_T_1.bin.09	99.96	0.17	0	4.158186	94.811	38.3	B_30
B_30_T_1.bin.10	99.99	0.2	0	3.492921	610.859	43.7	B_30
B_30_T_1.bin.11	93.21	0.26	0	4.043398	121.041	40.5	B_30
B_30_T_1.bin.12	91.95	2.55	20	3.321191	29.538	68.1	B_30
B_30_T_1.bin.13	80.88	2.16	0	3.260182	5.613	73.8	B_30
B_30_T_2.bin.01	99.95	0.14	0	4.158508	76.656	38.3	B_30
B_30_T_2.bin.02	99.52	3.37	26.32	7.025945	38.982	71.7	B_30
B_30_T_2.bin.03	61.11	1.27	0	3.477031	3.082	62.7	B_30
B_30_T_2.bin.04	86.28	0.09	100	3.146328	58.341	74.4	B_30
B_30_T_2.bin.05	80.23	5.41	0	2.89905	12.696	70.7	B_30
B_30_T_2.bin.07	99.88	0	0	5.678761	77.104	62.7	B_30
B_30_T_2.bin.08	53.66	0.77	0	2.340019	2.444	64.1	B_30
B_30_T_2.bin.09	53.41	0.08	0	2.475409	2.026	37.8	B_30
B_30_T_2.bin.10	94.02	0.6	0	4.865577	31.07	40.6	B_30
