Name	Completeness_checkM2	Contamination_checkM2	Completeness_checkM1	Contamination_checkM1	Quality	Sample
B_15_M_1.bin.10	93.42	9.56	92.53	6.83	MQ MAG	BCES
B_15_M_1.bin.12	53.67	1.95	55.49	1.33	MQ MAG	BCES
B_15_M_1.bin.13	51.75	3.67	65.13	4.44	MQ MAG	BCES
B_15_M_1.bin.14	76.99	0.32	54.31	0	MQ MAG	BCES
B_15_M_1.bin.15	73.55	0.65	75.33	1.95	MQ MAG	BCES
B_15_M_1.bin.16	99.6	0.48	95.73	1.58	HQ MAG	BCES
B_15_M_1.bin.17	95.35	0.13	96.12	1.16	HQ MAG	BCES
B_15_M_1.bin.18	88.75	2.44	96.26	1.12	MQ MAG	BCES
B_15_M_2.bin.01	100	0.26	99.85	1.26	HQ MAG	BCES
B_15_M_2.bin.02	95.35	1.62	93.31	1.24	HQ MAG	BCES
B_15_M_2.bin.03	90.52	1.39	92.44	2.03	HQ MAG	BCES
B_15_M_2.bin.04	98.73	0.18	97.29	0.64	HQ MAG	BCES
B_15_M_2.bin.05	87.38	0.03	88.73	1.68	MQ MAG	BCES
B_15_M_2.bin.06	90.07	0.08	92.66	0	HQ MAG	BCES
B_15_M_2.bin.07	80.58	4.47	54.39	2.63	MQ MAG	BCES
B_15_M_2.bin.08	94.83	4.25	91.24	6.04	HQ MAG	BCES
B_15_M_2.bin.09	84.88	1.78	85.62	0.7	MQ MAG	BCES
B_15_M_3.bin.01	99.91	1.06	98.67	0.33	HQ MAG	BCES
B_15_M_3.bin.02	94.22	2.04	95.79	1.92	HQ MAG	BCES
B_15_M_3.bin.03	99.99	0.41	94.92	1.23	HQ MAG	BCES
B_15_M_3.bin.04	99.97	0.54	97.02	2.11	HQ MAG	BCES
B_15_M_3.bin.05	97.43	0	99.12	0.23	HQ MAG	BCES
B_15_M_3.bin.06	81.27	1.46	88.25	1.55	MQ MAG	BCES
B_15_M_3.bin.07	82.7	0.71	84.12	0.99	MQ MAG	BCES
B_15_M_3.bin.08	96.51	0.08	99.14	0.39	HQ MAG	BCES
B_15_M_3.bin.09	100	0.73	100	0.56	HQ MAG	BCES
B_15_M_3.bin.10	100	0.23	98.91	1.39	HQ MAG	BCES
B_15_M_3.bin.11	99.49	0.06	97.11	0	HQ MAG	BCES
B_15_M_3.bin.12	69.8	3.09	69.68	0.45	MQ MAG	BCES
B_15_N_1.bin.01	99.26	0.28	96.82	0.67	HQ MAG	BCES
B_15_N_1.bin.02	81.53	0.57	81.1	0.59	MQ MAG	BCES
B_15_N_1.bin.03	68.93	5.52	59.28	2.63	MQ MAG	BCES
B_15_N_1.bin.04	87.05	1.43	86.93	2.55	MQ MAG	BCES
B_15_N_1.bin.05	95.56	0.81	93.84	0.72	HQ MAG	BCES
B_15_N_1.bin.06	59.3	6.22	57.73	0	MQ MAG	BCES
B_15_N_1.bin.07	100	0.06	99.34	0.22	HQ MAG	BCES
B_15_N_1.bin.08	52.99	4.48	54.58	8.58	MQ MAG	BCES
B_15_N_1.bin.09	99.95	2.2	96.52	3.12	HQ MAG	BCES
B_15_N_1.bin.10	94.86	2.04	90.34	2.55	HQ MAG	BCES
B_15_N_1.bin.11	69.66	1.63	56.65	0	MQ MAG	BCES
B_15_N_1.bin.12	93.67	0.77	98.01	0.22	HQ MAG	BCES
B_15_N_1.bin.13	100	0.94	96.68	1.58	HQ MAG	BCES
B_15_N_1.bin.14	67.48	1.68	54.09	0	MQ MAG	BCES
B_15_N_2.bin.01	100	0.7	98.77	2.67	HQ MAG	BCES
B_15_N_2.bin.02	94.58	2.58	94.61	1.54	HQ MAG	BCES
B_15_N_2.bin.03	81.28	0.51	86.54	0.51	MQ MAG	BCES
B_15_N_2.bin.04	91.79	0.23	93.54	1.08	HQ MAG	BCES
B_15_N_2.bin.05	72.01	3.15	55.17	6.9	MQ MAG	BCES
B_15_N_2.bin.06	78.99	3	67.89	0.88	MQ MAG	BCES
B_15_N_2.bin.07	80.33	0.46	76.38	0.67	MQ MAG	BCES
B_15_N_2.bin.08	87.4	0.3	91.19	1.66	MQ MAG	BCES
B_15_N_2.bin.09	67	0.99	51.29	0.86	MQ MAG	BCES
B_15_N_2.bin.10	99.99	0.07	98.56	0	HQ MAG	BCES
B_15_N_2.bin.11	74.02	9.21	56.9	8.62	MQ MAG	BCES
B_15_N_2.bin.12	100	0.48	97.76	1.58	HQ MAG	BCES
B_15_N_2.bin.13	57.11	1.91	55.67	1.06	MQ MAG	BCES
B_15_N_3.bin.01	78.26	0.63	60.53	1.75	MQ MAG	BCES
B_15_N_3.bin.02	90.98	1.49	89.63	2.52	HQ MAG	BCES
B_15_N_3.bin.03	63.73	1.12	73.43	2.27	MQ MAG	BCES
B_15_N_3.bin.05	97.87	5.86	92.8	1.37	MQ MAG	BCES
B_15_N_3.bin.06	62.6	0.61	57.4	0.32	MQ MAG	BCES
B_15_N_3.bin.07	86.73	1.06	84.09	2.61	MQ MAG	BCES
B_15_N_3.bin.08	63.84	3.62	72.91	1.98	MQ MAG	BCES
B_15_N_3.bin.09	99.96	1.98	98.66	1.02	HQ MAG	BCES
B_15_N_3.bin.10	86.76	0.98	87.92	1.39	MQ MAG	BCES
B_15_N_3.bin.11	96.57	1.06	95.07	2.5	HQ MAG	BCES
B_15_N_3.bin.12	100	2.18	98.2	3.18	HQ MAG	BCES
B_15_R_1.bin.01	82.18	5.1	84.58	4.09	MQ MAG	BCES
B_15_R_1.bin.02	95.15	2.9	89.53	2.33	HQ MAG	BCES
B_15_R_1.bin.03	94.25	0.33	76.9	0	HQ MAG	BCES
B_15_R_1.bin.04	71.95	1.96	58.64	0	MQ MAG	BCES
B_15_R_1.bin.05	99.99	2.27	98.66	2.3	HQ MAG	BCES
B_15_R_1.bin.06	69.43	2.98	56.48	0	MQ MAG	BCES
B_15_R_1.bin.07	63.4	4.96	63.98	2.13	MQ MAG	BCES
B_15_R_1.bin.08	77.38	1.68	70.3	0	MQ MAG	BCES
B_15_R_1.bin.09	60.48	0.11	66.53	1.43	MQ MAG	BCES
B_15_R_1.bin.10	100	0.25	98.91	1.47	HQ MAG	BCES
B_15_R_1.bin.11	87.17	2.53	90.38	2.52	MQ MAG	BCES
B_15_R_2.bin.01	100	0.68	96.88	2.03	HQ MAG	BCES
B_15_R_2.bin.02	95.21	0.89	94.62	1.87	HQ MAG	BCES
B_15_R_2.bin.03	80.72	5.51	82.85	5.58	MQ MAG	BCES
B_15_R_2.bin.04	62.91	0.1	66.32	0.29	MQ MAG	BCES
B_15_R_2.bin.07	100	0.58	98.91	1.39	HQ MAG	BCES
B_15_R_2.bin.08	82.74	5.08	81.01	3.54	MQ MAG	BCES
B_15_R_2.bin.09	85.9	9.82	51.15	0	MQ MAG	BCES
B_15_R_2.bin.10	78.11	0.86	77.99	0.22	MQ MAG	BCES
B_15_R_2.bin.11	96.64	0.59	98.52	1.14	HQ MAG	BCES
B_15_R_2.bin.12	88.46	4.01	88.84	0.86	MQ MAG	BCES
B_15_R_3.bin.01	75.17	6.72	50.57	0.86	MQ MAG	BCES
B_15_R_3.bin.02	96.14	0.41	98.19	0.37	HQ MAG	BCES
B_15_R_3.bin.03	71.33	5.63	76.99	8.52	MQ MAG	BCES
B_15_R_3.bin.04	99.54	0.03	98.66	0.07	HQ MAG	BCES
B_15_R_3.bin.05	100	0.65	95.66	2.07	HQ MAG	BCES
B_15_R_3.bin.06	65.08	2.34	74.03	3.5	MQ MAG	BCES
B_15_R_3.bin.07	95.03	2.34	92.65	3.23	HQ MAG	BCES
B_15_R_3.bin.08	100	0	99.62	0.79	HQ MAG	BCES
B_15_R_3.bin.10	99.98	0.34	99.18	0.43	HQ MAG	BCES
B_15_R_3.bin.11	77.58	0.66	53.86	0	MQ MAG	BCES
B_15_T_1.bin.01	100	0.75	99.34	2.25	HQ MAG	BCES
B_15_T_1.bin.02	79.9	1.23	81.28	0.24	MQ MAG	BCES
B_15_T_1.bin.03	88.88	0.09	90.71	1.18	MQ MAG	BCES
B_15_T_1.bin.04	99.98	0.32	97.01	1.22	HQ MAG	BCES
B_15_T_1.bin.05	99.79	0.42	98.68	1.21	HQ MAG	BCES
B_15_T_1.bin.06	95.16	2.33	95.01	0.72	HQ MAG	BCES
B_15_T_1.bin.07	57.91	0.46	58.25	1.73	MQ MAG	BCES
B_15_T_2.bin.01	99.61	0.18	97.78	0.67	HQ MAG	BCES
B_15_T_2.bin.02	73.43	1.84	67.24	0	MQ MAG	BCES
B_15_T_2.bin.03	99.97	0.01	97.35	0.22	HQ MAG	BCES
B_15_T_2.bin.04	65.12	0.88	69.53	2.84	MQ MAG	BCES
B_15_T_2.bin.05	66.7	1.51	51.18	1.72	MQ MAG	BCES
B_15_T_2.bin.06	95.23	0	97.81	1.83	HQ MAG	BCES
B_15_T_2.bin.07	82.78	2.29	87.68	2.14	MQ MAG	BCES
B_15_T_2.bin.08	86.82	0.46	91.45	2.04	MQ MAG	BCES
B_15_T_2.bin.09	100	0.15	98.91	1.47	HQ MAG	BCES
B_15_T_2.bin.10	99.28	0.11	98.01	0.22	HQ MAG	BCES
B_15_T_3.bin.01	69.98	1.07	58.62	0	MQ MAG	BCES
B_15_T_3.bin.02	98.35	0.4	97.11	1.39	HQ MAG	BCES
B_15_T_3.bin.03	95.31	0.28	95.46	2.93	HQ MAG	BCES
B_15_T_3.bin.04	87.31	0.2	90.22	2.06	MQ MAG	BCES
B_15_T_3.bin.05	87.83	0	90.4	0.69	MQ MAG	BCES
B_15_T_3.bin.06	90.37	1.89	92.54	1.87	HQ MAG	BCES
B_15_T_3.bin.07	99.54	0.25	97.37	0.62	HQ MAG	BCES
B_15_T_3.bin.08	98.54	0.21	98.75	0	HQ MAG	BCES
B_15_T_3.bin.09	96.63	1.16	94.89	1.58	HQ MAG	BCES
B_15_T_3.bin.10	89.08	2.74	88.49	2.62	MQ MAG	BCES
B_30_A_1.bin.01	100	0.49	97.92	2.07	HQ MAG	BCES
B_30_A_1.bin.03	80.18	1.08	85.14	0.41	MQ MAG	BCES
B_30_A_1.bin.04	100	1.03	98.63	1.53	HQ MAG	BCES
B_30_A_1.bin.05	100	0	100	0	HQ MAG	BCES
B_30_A_1.bin.06	94.15	0.12	96.3	1.83	HQ MAG	BCES
B_30_A_1.bin.07	67.67	2.55	54.89	5.17	MQ MAG	BCES
B_30_A_1.bin.08	99.79	0.35	98.55	0.67	HQ MAG	BCES
B_30_A_1.bin.09	90.77	2.1	95.06	1.46	HQ MAG	BCES
B_30_A_1.bin.11	57.67	2.37	52.71	0.36	MQ MAG	BCES
B_30_A_2.bin.01	99.98	0.29	96.5	2.2	HQ MAG	BCES
B_30_A_2.bin.02	99.22	0.07	96.22	0.32	HQ MAG	BCES
B_30_A_2.bin.03	58.6	4.04	58.02	5.09	MQ MAG	BCES
B_30_A_2.bin.04	94.33	0.11	94.23	1.64	HQ MAG	BCES
B_30_A_2.bin.05	74.95	1.75	83.29	2.44	MQ MAG	BCES
B_30_A_2.bin.06	99.97	0.06	99.75	0.9	HQ MAG	BCES
B_30_A_2.bin.07	84.3	0.27	92.31	1.03	MQ MAG	BCES
B_30_A_2.bin.08	92.57	0.43	94.8	2.48	HQ MAG	BCES
B_30_A_2.bin.10	87.1	0.22	93.16	0.63	MQ MAG	BCES
B_30_A_2.bin.11	100	0.93	99.62	4.1	HQ MAG	BCES
B_30_A_2.bin.12	78.94	2.28	80.45	4.53	MQ MAG	BCES
B_30_A_2.bin.13	100	0.82	95.22	1.13	HQ MAG	BCES
B_30_A_2.bin.14	72.74	5.76	77.57	4.65	MQ MAG	BCES
B_30_A_2.bin.15	76.42	2.01	63.83	2.59	MQ MAG	BCES
B_30_A_3.bin.01	56.87	0.04	62.59	0	MQ MAG	BCES
B_30_A_3.bin.02	99.96	0.06	99.5	1.12	HQ MAG	BCES
B_30_A_3.bin.03	87.37	0.01	74.14	0	MQ MAG	BCES
B_30_A_3.bin.04	93.35	0.2	93.28	1.64	HQ MAG	BCES
B_30_A_3.bin.05	91.87	0.52	96.78	0.07	HQ MAG	BCES
B_30_A_3.bin.06	94	1.49	91.72	1.84	HQ MAG	BCES
B_30_A_3.bin.07	57.45	3.79	56.91	4.36	MQ MAG	BCES
B_30_A_3.bin.08	87.54	0.57	94.24	0.99	MQ MAG	BCES
B_30_A_3.bin.09	82.98	3.08	60	0	MQ MAG	BCES
B_30_A_3.bin.10	89.09	0	94.04	2.32	MQ MAG	BCES
B_30_A_3.bin.11	92.1	3	91.22	2.63	HQ MAG	BCES
B_30_A_3.bin.13	93.44	0.54	94.38	0.88	HQ MAG	BCES
B_30_A_3.bin.14	99.8	0.13	96.86	0	HQ MAG	BCES
B_30_A_3.bin.15	100	2.2	95.36	0.94	HQ MAG	BCES
B_30_A_3.bin.16	100	1.25	97.45	2.51	HQ MAG	BCES
B_30_A_3.bin.17	78.66	0.2	61.11	0	MQ MAG	BCES
B_30_M_1.bin.01	98.48	0.56	95.18	0	HQ MAG	BCES
B_30_M_1.bin.02	95.69	3.57	85.79	1.54	HQ MAG	BCES
B_30_M_1.bin.03	99.61	0.16	97.81	0.31	HQ MAG	BCES
B_30_M_1.bin.04	98.93	2.21	95.98	2.43	HQ MAG	BCES
B_30_M_1.bin.05	99.99	1.67	98.33	0.33	HQ MAG	BCES
B_30_M_1.bin.06	99.81	0.15	98.35	0.67	HQ MAG	BCES
B_30_M_1.bin.07	54.82	2.36	55.17	0	MQ MAG	BCES
B_30_M_1.bin.08	99.13	0.94	96.42	1.39	HQ MAG	BCES
B_30_M_1.bin.09	99.95	0.03	98.95	0	HQ MAG	BCES
B_30_M_1.bin.10	70.53	0.94	61.07	0	MQ MAG	BCES
B_30_M_1.bin.11	100	0.13	99.34	0.55	HQ MAG	BCES
B_30_M_1.bin.12	65.49	0.43	73.05	0.88	MQ MAG	BCES
B_30_M_1.bin.13	99.99	0.3	99.85	0.59	HQ MAG	BCES
B_30_M_1.bin.14	99.93	0.21	99.56	0.25	HQ MAG	BCES
B_30_M_1.bin.15	99.96	0.64	99.52	0	HQ MAG	BCES
B_30_M_1.bin.16	98.12	0.38	93.33	0.56	HQ MAG	BCES
B_30_M_1.bin.17	94.84	0.59	97.42	1.62	HQ MAG	BCES
B_30_M_2.bin.01	98.58	7.17	96.52	4.35	MQ MAG	BCES
B_30_M_2.bin.02	81.86	1.14	66.67	0	MQ MAG	BCES
B_30_M_2.bin.03	93.44	0.21	93.52	2.97	HQ MAG	BCES
B_30_M_2.bin.04	90.46	0.61	95.36	0.16	HQ MAG	BCES
B_30_M_2.bin.05	54.49	0.11	66.83	0	MQ MAG	BCES
B_30_M_2.bin.06	88	1.24	89.42	0.17	MQ MAG	BCES
B_30_M_2.bin.07	95.78	0.01	98.45	0	HQ MAG	BCES
B_30_M_2.bin.08	99.19	0.89	98.96	2.13	HQ MAG	BCES
B_30_M_2.bin.10	99.59	0.72	96.67	1.65	HQ MAG	BCES
B_30_M_2.bin.11	99.99	1.36	97.51	2.73	HQ MAG	BCES
B_30_M_2.bin.12	67.74	3.72	75.54	1.72	MQ MAG	BCES
B_30_M_2.bin.14	100	0.87	98.63	1.39	HQ MAG	BCES
B_30_M_2.bin.15	90.22	0.26	95.4	0.52	HQ MAG	BCES
B_30_M_2.bin.16	91.9	0.87	95.26	0.98	HQ MAG	BCES
B_30_M_2.bin.17	94.35	0.22	96.53	0.37	HQ MAG	BCES
B_30_M_3.bin.01	99.39	1.16	97.63	2.51	HQ MAG	BCES
B_30_M_3.bin.02	61.72	0.29	67.23	0.25	MQ MAG	BCES
B_30_M_3.bin.03	89.66	2.75	91.42	4.15	MQ MAG	BCES
B_30_M_3.bin.04	87.98	2.59	73.33	1.75	MQ MAG	BCES
B_30_M_3.bin.05	96.38	0.91	96.11	2.03	HQ MAG	BCES
B_30_M_3.bin.06	92.96	0.29	93.7	0.58	HQ MAG	BCES
B_30_M_3.bin.07	78.17	0.63	84.1	1.29	MQ MAG	BCES
B_30_M_3.bin.08	96.74	0.23	96.48	0.63	HQ MAG	BCES
B_30_M_3.bin.09	83.87	0.32	91.68	0.9	MQ MAG	BCES
B_30_M_3.bin.10	100	0.07	100	1.14	HQ MAG	BCES
B_30_M_3.bin.11	77.85	0.52	82.12	1.6	MQ MAG	BCES
B_30_M_3.bin.12	51.8	3.9	50.86	7.81	MQ MAG	BCES
B_30_N_1.bin.01	77.23	0	75.86	0	MQ MAG	BCES
B_30_N_1.bin.02	75.64	0.65	59.48	1.72	MQ MAG	BCES
B_30_N_1.bin.03	79.13	7.23	71.71	0	MQ MAG	BCES
B_30_N_1.bin.04	92	0.75	83.58	1.58	HQ MAG	BCES
B_30_N_1.bin.05	83.96	1.18	72.97	0	MQ MAG	BCES
B_30_N_1.bin.06	92.49	0.59	98.74	0.22	HQ MAG	BCES
B_30_N_1.bin.07	99.99	0.04	98.08	0.55	HQ MAG	BCES
B_30_N_1.bin.08	99.92	0.92	97.85	0.98	HQ MAG	BCES
B_30_N_1.bin.09	86.57	0.85	88.28	1.35	MQ MAG	BCES
B_30_N_1.bin.10	84.13	7.65	70.53	1.75	MQ MAG	BCES
B_30_N_1.bin.13	84.22	4.61	69.22	1.75	MQ MAG	BCES
B_30_N_1.bin.14	100	0.45	98.68	0.88	HQ MAG	BCES
B_30_N_1.bin.15	88.72	0.54	87.95	0.22	MQ MAG	BCES
B_30_N_1.bin.16	99.99	1.51	98.67	0.39	HQ MAG	BCES
B_30_N_1.bin.17	85.19	0.08	67.67	1.72	MQ MAG	BCES
B_30_N_1.bin.18	100	0.11	99.34	0.22	HQ MAG	BCES
B_30_N_2.bin.02	94.7	0.12	93.47	1.65	HQ MAG	BCES
B_30_N_2.bin.03	81.38	2.51	84.29	2.81	MQ MAG	BCES
B_30_N_2.bin.04	64.67	9.72	52.43	5.02	MQ MAG	BCES
B_30_N_2.bin.05	100	0.01	99.59	0	HQ MAG	BCES
B_30_N_2.bin.06	95.33	2.68	96.94	1.99	HQ MAG	BCES
B_30_N_2.bin.07	73.12	1.35	69.75	1.74	MQ MAG	BCES
B_30_N_2.bin.08	100	1.09	97.98	2.66	HQ MAG	BCES
B_30_N_2.bin.09	57.82	1.36	58.09	1.81	MQ MAG	BCES
B_30_N_2.bin.10	73.73	8.54	52.51	6.9	MQ MAG	BCES
B_30_N_2.bin.11	99.94	2.26	98.12	0.71	HQ MAG	BCES
B_30_N_3.bin.01	55.8	2.67	55.47	0	MQ MAG	BCES
B_30_N_3.bin.02	84.13	5.36	83.49	1.4	MQ MAG	BCES
B_30_N_3.bin.03	94.75	1.15	72.5	0	HQ MAG	BCES
B_30_N_3.bin.04	92.67	3.01	94.33	4.48	HQ MAG	BCES
B_30_N_3.bin.05	100	0	99.2	1.14	HQ MAG	BCES
B_30_N_3.bin.06	95.33	3.19	93.19	0.66	HQ MAG	BCES
B_30_N_3.bin.07	95.81	0.39	97.6	0.67	HQ MAG	BCES
B_30_N_3.bin.08	95.73	1.58	94.42	3.34	HQ MAG	BCES
B_30_N_3.bin.09	81.43	2.61	84.73	3.12	MQ MAG	BCES
B_30_R_1.bin.01	87.87	3.26	89.36	1.2	MQ MAG	BCES
B_30_R_1.bin.02	97.45	0.5	97.04	0.72	HQ MAG	BCES
B_30_R_1.bin.03	87.37	4.07	90.53	2.38	MQ MAG	BCES
B_30_R_1.bin.04	83.39	0.16	87.38	0.84	MQ MAG	BCES
B_30_R_1.bin.05	89.63	0.74	92.44	0.94	MQ MAG	BCES
B_30_R_1.bin.06	90.15	0.22	96.46	0.22	HQ MAG	BCES
B_30_R_1.bin.07	92.02	1.22	90.48	1.53	HQ MAG	BCES
B_30_R_1.bin.08	57.76	5.09	57.04	9.1	MQ MAG	BCES
B_30_R_1.bin.09	93.78	0.08	97.66	0.22	HQ MAG	BCES
B_30_R_1.bin.10	87.34	7.96	82.32	5.85	MQ MAG	BCES
B_30_R_1.bin.11	89.94	5.82	90.4	2.7	MQ MAG	BCES
B_30_R_1.bin.12	95.95	2.94	93.19	0.25	HQ MAG	BCES
B_30_R_1.bin.13	86.15	1.66	86.22	3.21	MQ MAG	BCES
B_30_R_1.bin.14	93.7	0.42	94.54	1.34	HQ MAG	BCES
B_30_R_1.bin.15	65.71	5.11	52.63	7.02	MQ MAG	BCES
B_30_R_2.bin.01	92.24	0.49	92.55	0.58	HQ MAG	BCES
B_30_R_2.bin.02	98.7	0.35	98.08	0.72	HQ MAG	BCES
B_30_R_2.bin.03	94.79	1.31	94.23	1.88	HQ MAG	BCES
B_30_R_2.bin.04	88.2	0.85	96.2	0.77	MQ MAG	BCES
B_30_R_2.bin.05	98.4	0.49	97.62	0.74	HQ MAG	BCES
B_30_R_2.bin.06	83.82	3.99	57.89	1.75	MQ MAG	BCES
B_30_R_2.bin.07	76.31	8.21	61.91	7.02	MQ MAG	BCES
B_30_R_2.bin.08	59.17	0.85	65.63	1.52	MQ MAG	BCES
B_30_R_2.bin.09	93.84	4.42	95.58	3.62	HQ MAG	BCES
B_30_R_2.bin.10	63.73	8.77	54.31	8.62	MQ MAG	BCES
B_30_R_2.bin.11	88.36	8.89	66.99	0	MQ MAG	BCES
B_30_R_2.bin.13	80.84	0.87	56.3	0	MQ MAG	BCES
B_30_R_2.bin.14	93.36	0.33	92.54	0.87	HQ MAG	BCES
B_30_R_2.bin.15	99.99	0.01	97.17	1.16	HQ MAG	BCES
B_30_R_3.bin.01	100	0.7	97.67	2.07	HQ MAG	BCES
B_30_R_3.bin.02	82.33	9.69	57.24	4.31	MQ MAG	BCES
B_30_R_3.bin.03	80.65	3.09	72.69	4.68	MQ MAG	BCES
B_30_R_3.bin.04	94.47	0.01	96.72	0.02	HQ MAG	BCES
B_30_R_3.bin.05	64.92	0.63	59.25	0	MQ MAG	BCES
B_30_R_3.bin.06	95.39	1.73	96.88	2.55	HQ MAG	BCES
B_30_R_3.bin.07	74.42	3.1	67.24	0	MQ MAG	BCES
B_30_R_3.bin.08	86.24	2.72	91.99	1.63	MQ MAG	BCES
B_30_R_3.bin.09	58.44	0.54	61.21	0	MQ MAG	BCES
B_30_R_3.bin.10	79.7	9.17	64.7	1.23	MQ MAG	BCES
B_30_R_3.bin.11	100	0.08	100	2.49	HQ MAG	BCES
B_30_R_3.bin.12	76.91	1.81	78.48	1.49	MQ MAG	BCES
B_30_T_1.bin.01	93.12	0.08	92.39	0.58	HQ MAG	BCES
B_30_T_1.bin.02	85.89	5.57	83.36	6.7	MQ MAG	BCES
B_30_T_1.bin.03	98.81	0.26	97.91	0.62	HQ MAG	BCES
B_30_T_1.bin.05	55.39	5.75	59.87	8.55	MQ MAG	BCES
B_30_T_1.bin.08	83.21	1.77	84.16	2.4	MQ MAG	BCES
B_30_T_1.bin.09	99.96	0.17	99.34	0.55	HQ MAG	BCES
B_30_T_1.bin.10	99.99	0.2	99.34	0.22	HQ MAG	BCES
B_30_T_1.bin.11	93.21	0.26	96.12	2.83	HQ MAG	BCES
B_30_T_1.bin.12	91.95	2.55	93.92	2.48	HQ MAG	BCES
B_30_T_1.bin.13	80.88	2.16	71.81	1.75	MQ MAG	BCES
B_30_T_2.bin.01	99.95	0.14	99.34	0.55	HQ MAG	BCES
B_30_T_2.bin.02	99.52	3.37	99.14	4.08	HQ MAG	BCES
B_30_T_2.bin.03	61.11	1.27	51.72	1.72	MQ MAG	BCES
B_30_T_2.bin.04	86.28	0.09	81.59	0.58	MQ MAG	BCES
B_30_T_2.bin.05	80.23	5.41	54.09	1.75	MQ MAG	BCES
B_30_T_2.bin.07	99.88	0	98.35	0.1	HQ MAG	BCES
B_30_T_2.bin.08	53.66	0.77	51.32	1.6	MQ MAG	BCES
B_30_T_2.bin.09	53.41	0.08	58.65	1.15	MQ MAG	BCES
B_30_T_2.bin.10	94.02	0.6	92.57	0.36	HQ MAG	BCES
B_30_T_2.bin.11	77.04	2.67	56.3	0.88	MQ MAG	BCES
B_30_T_2.bin.12	96.79	0.04	96.47	0.66	HQ MAG	BCES
B_30_T_2.bin.14	54.67	2.21	52.63	1.75	MQ MAG	BCES
B_30_T_2.bin.15	68.81	7.56	71.93	3.51	MQ MAG	BCES
B_30_T_3.bin.01	78.62	1.2	71.29	0.86	MQ MAG	BCES
